Student,student_id_original,Time,Score %,Score correct,Score denominator,Online module,Activities,Grade,parental_consent,at_risk_state_report_id,at_risk_student_grade,at_risk_gender,at_risk_ethnic_name,at_risk_student_age,at_risk_meal_status_code,at_risk_student_status_current,at_risk_entry_date_e_w,at_risk_entry_code_e_w,at_risk_unexcused,at_risk_excused,at_risk_l_1,at_risk_l_2,at_risk_l_3,at_risk_l_4,at_risk_local,at_risk_transportation_1,at_risk_transportation_2,at_risk_transportation_3,at_risk_entry_date,at_risk_enrolled_school_days,at_risk_unexcused_absence_pct_enrolled,at_risk_excused_absence_pct_enrolled,at_risk_total_absence_pct_enrolled,at_risk_school_referral_severity_points_170,at_risk_bus_referral_severity_points_170,at_risk_total_school_referrals_170,at_risk_total_bus_referrals_170,part_A_Q1_response,part_A_Q1_recode,part_A_Q2_response,part_A_Q2_recode,part_A_Q3_response,part_A_Q3_recode,part_A_Q4_response,part_A_Q4_recode,part_B_Q5_response,part_B_Q5_recode,part_B_Q6_response,part_B_Q6_recode,part_B_Q7_response,part_B_Q7_recode,part_B_Q8_response,part_B_Q8_recode,part_B_Q9_response,part_B_Q9_recode,part_B_Q10_response,part_B_Q10_recode,part_A_Q5_response,part_A_Q5_recode,part_B_Q11_response,part_B_Q11_recode
600408887,6.00408887E8,Pre,30.000000,3,10,1,1,3,Y,4838473022,03,Male,NonBlack,9,05,A,45887.0,R,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025-08-18,170,2.941176,1.764706,4.705882,3.000000,0.000000,1.000000,0.000000,1,0,5,2,2,0,2,1,3,0,4,0,1,1,5,2,4,0,1,1,,,,
600408887,6.00408887E8,Post,50.000000,5,10,1,1,3,Y,4838473022,03,Male,NonBlack,9,05,A,45887.0,R,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025-08-18,170,2.941176,1.764706,4.705882,3.000000,0.000000,1.000000,0.000000,4,0,5,2,1,1,2,1,1,1,5,2,1,1,2,0,3,0,5,1,,,,
600409200,6.004092E8,Pre,70.000000,7,10,0,1,3,Y,5463031262,03,Female,Black,8,04,A,45887.0,R,13.0,1.0,0,0,0,0,0,0,0,0,2025-08-18,170,7.647059,0.588235,8.235294,0.000000,0.000000,0.000000,0.000000,2,1,4,0,1,1,2,1,4,0,4,0,1,1,3,1,1,1,2,1,,,,
600409200,6.004092E8,Post,60.000000,6,10,0,1,3,Y,5463031262,03,Female,Black,8,04,A,45887.0,R,13.0,1.0,0,0,0,0,0,0,0,0,2025-08-18,170,7.647059,0.588235,8.235294,0.000000,0.000000,0.000000,0.000000,3,0,1,0,3,0,2,1,1,1,3,1,1,1,3,1,3,0,5,1,,,,
600406441,6.00406441E8,Pre,80.000000,8,10,1,1,3,Y,6600165772,03,Female,Black,8,06,A,45887.0,R,4.0,2.0,0,0,0,0,0,0,0,0,2025-08-18,170,2.352941,1.176471,3.529412,0.000000,0.000000,0.000000,0.000000,3,0,5,2,1,1,2,1,1,1,3,1,1,1,3,1,1,1,2,1,,,,
600406441,6.00406441E8,Post,40.000000,4,10,1,1,3,Y,6600165772,03,Female,Black,8,06,A,45887.0,R,4.0,2.0,0,0,0,0,0,0,0,0,2025-08-18,170,2.352941,1.176471,3.529412,0.000000,0.000000,0.000000,0.000000,3,0,5,2,4,0,3,0,5,2,3,1,1,1,3,1,5,2,5,1,,,,
600407347,6.00407347E8,Pre,70.000000,7,10,0,1,3,Y,6882461034,03,Male,Black,10,04,A,45887.0,R,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2025-08-18,170,2.352941,0.000000,2.352941,6.000000,0.000000,2.000000,0.000000,3,0,4,0,1,1,2,1,1,1,3,1,1,1,3,1,4,0,2,1,,,,
600407347,6.00407347E8,Post,50.000000,5,10,0,1,3,Y,6882461034,03,Male,Black,10,04,A,45887.0,R,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2025-08-18,170,2.352941,0.000000,2.352941,6.000000,0.000000,2.000000,0.000000,3,0,3,1,1,1,3,0,4,0,5,2,1,1,3,1,3,0,5,1,,,,
600411868,6.00411868E8,Pre,50.000000,5,10,0,1,3,Y,2675254256,03,Female,Black,8,03,A,45887.0,R,2.0,4.0,0,0,0,0,0,0,0,0,2025-08-18,170,1.176471,2.352941,3.529412,0.000000,0.000000,0.000000,0.000000,3,0,5,2,1,1,2,1,5,2,5,2,1,1,3,1,5,2,2,1,,,,
600411868,6.00411868E8,Post,60.000000,6,10,0,1,3,Y,2675254256,03,Female,Black,8,03,A,45887.0,R,2.0,4.0,0,0,0,0,0,0,0,0,2025-08-18,170,1.176471,2.352941,3.529412,0.000000,0.000000,0.000000,0.000000,5,2,5,2,1,1,2,1,1,1,1,0,1,1,3,1,5,2,5,1,,,,
600406342,6.00406342E8,Pre,50.000000,5,10,0,1,3,Y,1274473643,03,Male,NonBlack,9,05,A,45887.0,R,13.0,5.0,0,0,0,0,0,0,0,0,2025-08-18,170,7.647059,2.941176,10.588235,0.000000,0.000000,0.000000,0.000000,1,0,1,0,2,0,2,1,1,1,3,1,2,0,3,1,5,2,2,1,,,,
600406342,6.00406342E8,Post,50.000000,5,10,0,1,3,Y,1274473643,03,Male,NonBlack,9,05,A,45887.0,R,13.0,5.0,0,0,0,0,0,0,0,0,2025-08-18,170,7.647059,2.941176,10.588235,0.000000,0.000000,0.000000,0.000000,3,0,5,2,1,1,2,1,1,1,5,2,1,1,3,1,3,0,.,.,,,,
600407367,6.00407367E8,Pre,20.000000,2,10,0,1,3,Y,7658362302,03,Female,Black,8,04,A,45887.0,R,8.0,0.0,0,0,0,0,0,0,0,0,2025-08-18,170,4.705882,0.000000,4.705882,0.000000,0.000000,0.000000,0.000000,1,0,5,2,4,0,2,1,5,2,1,0,3,2,2,0,5,2,1,1,,,,
600407367,6.00407367E8,Post,20.000000,2,10,0,1,3,Y,7658362302,03,Female,Black,8,04,A,45887.0,R,8.0,0.0,0,0,0,0,0,0,0,0,2025-08-18,170,4.705882,0.000000,4.705882,0.000000,0.000000,0.000000,0.000000,5,2,5,2,4,0,1,0,5,2,1,0,1,1,3,1,5,2,.,.,,,,
600408046,6.00408046E8,Pre,60.000000,6,10,1,1,3,Y,7177116282,03,Male,NonBlack,9,04,A,45887.0,R,3.0,12.0,0,0,0,0,0,0,0,0,2025-08-18,170,1.764706,7.058824,8.823529,0.000000,0.000000,0.000000,0.000000,3,0,2,0,1,1,3,0,1,1,5,2,1,1,3,1,1,1,2,1,,,,
600408046,6.00408046E8,Post,60.000000,6,10,1,1,3,Y,7177116282,03,Male,NonBlack,9,04,A,45887.0,R,3.0,12.0,0,0,0,0,0,0,0,0,2025-08-18,170,1.764706,7.058824,8.823529,0.000000,0.000000,0.000000,0.000000,2,1,3,1,1,1,5,2,1,1,5,2,1,1,3,1,5,2,6,2,,,,
600407919,6.00407919E8,Pre,36.363636,4,11,0,1,4,Y,3746081372,04,Male,Black,9,02,A,45887.0,R,8.0,0.0,0,0,0,0,0,0,0,0,2025-08-18,170,4.705882,0.000000,4.705882,0.000000,0.000000,0.000000,0.000000,2,0,3,0,2,0,1,1,,,5,2,1,1,3,1,5,2,5,2,5,2,5,1
600407919,6.00407919E8,Post,72.727273,8,11,0,1,4,Y,3746081372,04,Male,Black,9,02,A,45887.0,R,8.0,0.0,0,0,0,0,0,0,0,0,2025-08-18,170,4.705882,0.000000,4.705882,0.000000,0.000000,0.000000,0.000000,1,1,1,1,1,0,3,0,,,1,1,1,1,3,1,1,1,.,.,2,1,5,1
600408822,6.00408822E8,Pre,27.272727,3,11,0,1,4,Y,8842882123,04,Male,NonBlack,10,03,A,45887.0,R,2.0,2.0,0,0,0,0,0,0,0,0,2025-08-18,170,1.176471,1.176471,2.352941,0.000000,0.000000,0.000000,0.000000,2,0,3,0,2,0,3,0,,,1,1,2,0,1,0,3,0,4,0,2,1,2,1
600408822,6.00408822E8,Post,45.454545,5,11,0,1,4,Y,8842882123,04,Male,NonBlack,10,03,A,45887.0,R,2.0,2.0,0,0,0,0,0,0,0,0,2025-08-18,170,1.176471,1.176471,2.352941,0.000000,0.000000,0.000000,0.000000,1,1,3,0,1,0,3,0,,,4,0,1,1,3,1,2,0,2,0,2,1,1,1
600408024,6.00408024E8,Pre,45.454545,5,11,0,1,4,Y,2170750422,04,Male,Black,11,05,A,45887.0,R,2.0,1.0,0,0,0,0,0,0,0,0,2025-08-18,170,1.176471,0.588235,1.764706,0.000000,0.000000,0.000000,0.000000,2,0,3,0,3,1,1,1,,,1,1,1,1,2,0,5,2,4,0,1,0,5,1
600408024,6.00408024E8,Post,63.636364,7,11,0,1,4,Y,2170750422,04,Male,Black,11,05,A,45887.0,R,2.0,1.0,0,0,0,0,0,0,0,0,2025-08-18,170,1.176471,0.588235,1.764706,0.000000,0.000000,0.000000,0.000000,2,0,4,0,2,0,1,1,,,1,1,1,1,3,1,1,1,2,0,2,1,5,1
600410103,6.00410103E8,Pre,27.272727,3,11,0,1,4,Y,1434360337,04,Female,Black,10,04,A,45887.0,R,13.0,4.0,0,0,0,0,0,0,0,0,2025-08-18,170,7.647059,2.352941,10.000000,0.000000,0.000000,0.000000,0.000000,2,0,5,2,2,0,5,2,,,1,1,1,1,5,2,5,2,5,2,3,0,5,1
600410103,6.00410103E8,Post,63.636364,7,11,0,1,4,Y,1434360337,04,Female,Black,10,04,A,45887.0,R,13.0,4.0,0,0,0,0,0,0,0,0,2025-08-18,170,7.647059,2.352941,10.000000,0.000000,0.000000,0.000000,0.000000,1,1,5,2,3,1,1,1,,,1,1,1,1,3,1,1,1,5,2,3,0,4,0
600407840,6.0040784E8,Pre,45.454545,5,11,0,1,4,Y,1520336105,04,Female,Black,10,05,A,45902.0,R,6.0,3.0,0,0,0,0,0,0,0,0,2025-09-02,160,3.750000,1.875000,5.625000,0.000000,0.000000,0.000000,0.000000,2,0,5,2,3,1,2,0,,,3,0,1,1,3,1,5,2,2,0,2,1,5,1
600407840,6.0040784E8,Post,72.727273,8,11,0,1,4,Y,1520336105,04,Female,Black,10,05,A,45902.0,R,6.0,3.0,0,0,0,0,0,0,0,0,2025-09-02,160,3.750000,1.875000,5.625000,0.000000,0.000000,0.000000,0.000000,1,1,3,0,3,1,2,0,,,1,1,1,1,3,1,2,0,3,1,2,1,1,1
600405114,6.00405114E8,Pre,45.454545,5,11,0,1,4,Y,2363450677,04,Male,Black,10,04,A,45887.0,R,6.0,14.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2025-08-18,170,3.529412,8.235294,11.764706,11.000000,0.000000,4.000000,0.000000,1,1,3,0,1,0,2,0,,,4,0,1,1,3,1,3,0,2,0,2,1,5,1
600405114,6.00405114E8,Post,54.545455,6,11,0,1,4,Y,2363450677,04,Male,Black,10,04,A,45887.0,R,6.0,14.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2025-08-18,170,3.529412,8.235294,11.764706,11.000000,0.000000,4.000000,0.000000,1,1,1,1,1,0,3,0,,,4,0,1,1,3,1,3,0,4,0,2,1,2,1
600408026,6.00408026E8,Pre,36.363636,4,11,0,1,4,Y,5226446478,04,Male,Black,11,05,A,45887.0,R,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025-08-18,170,1.764706,1.176471,2.941176,3.000000,0.000000,1.000000,0.000000,1,1,3,0,1,0,1,1,,,4,0,2,0,3,1,2,0,2,0,4,0,5,1
600408026,6.00408026E8,Post,36.363636,4,11,0,1,4,Y,5226446478,04,Male,Black,11,05,A,45887.0,R,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025-08-18,170,1.764706,1.176471,2.941176,3.000000,0.000000,1.000000,0.000000,1,1,3,0,2,0,4,0,,,3,0,1,1,3,1,3,0,4,0,1,0,2,1
600407917,6.00407917E8,Pre,36.363636,4,11,0,1,4,Y,1325788223,04,Female,Black,9,02,A,45887.0,R,9.0,0.0,0,0,0,0,0,0,0,0,2025-08-18,170,5.294118,0.000000,5.294118,0.000000,0.000000,0.000000,0.000000,1,1,3,0,2,0,5,2,,,5,2,2,0,5,2,1,1,2,0,2,1,5,1
600407917,6.00407917E8,Post,27.272727,3,11,0,1,4,Y,1325788223,04,Female,Black,9,02,A,45887.0,R,9.0,0.0,0,0,0,0,0,0,0,0,2025-08-18,170,5.294118,0.000000,5.294118,0.000000,0.000000,0.000000,0.000000,2,0,3,0,1,0,2,0,,,5,2,3,2,3,1,5,2,2,0,2,1,5,1
600406332,6.00406332E8,Pre,45.454545,5,11,0,1,4,Y,7532463031,04,Female,Black,9,03,A,45887.0,R,2.0,0.0,0,0,0,0,0,0,0,0,2025-08-18,170,1.176471,0.000000,1.176471,0.000000,0.000000,0.000000,0.000000,1,1,5,2,1,0,1,1,,,3,0,1,1,3,1,2,0,1,0,5,2,2,1
600406332,6.00406332E8,Post,27.272727,3,11,0,1,4,Y,7532463031,04,Female,Black,9,03,A,45887.0,R,2.0,0.0,0,0,0,0,0,0,0,0,2025-08-18,170,1.176471,0.000000,1.176471,0.000000,0.000000,0.000000,0.000000,1,1,4,0,4,0,2,0,,,3,0,1,1,2,0,3,0,2,0,3,0,1,1
600410652,6.00410652E8,Pre,54.545455,6,11,1,1,4,Y,3506122845,04,Female,Black,10,04,A,45887.0,R,15.0,0.0,0,0,0,0,0,0,0,0,2025-08-18,170,8.823529,0.000000,8.823529,0.000000,0.000000,0.000000,0.000000,1,1,5,2,2,0,1,1,,,1,1,1,1,3,1,3,0,2,0,3,0,2,1
600410652,6.00410652E8,Post,45.454545,5,11,1,1,4,Y,3506122845,04,Female,Black,10,04,A,45887.0,R,15.0,0.0,0,0,0,0,0,0,0,0,2025-08-18,170,8.823529,0.000000,8.823529,0.000000,0.000000,0.000000,0.000000,2,0,3,0,3,1,3,0,,,1,1,2,0,3,1,3,0,3,1,3,0,2,1
600403711,6.00403711E8,Pre,45.454545,5,11,0,0,4,Y,1388351827,04,Male,Black,11,02,A,45887.0,R,8.0,0.0,0,0,0,0,0,0,0,0,2025-08-18,170,4.705882,0.000000,4.705882,0.000000,0.000000,0.000000,0.000000,1,1,5,2,2,0,1,1,,,5,2,2,0,3,1,5,2,4,0,2,1,5,1
600403711,6.00403711E8,Post,36.363636,4,11,0,0,4,Y,1388351827,04,Male,Black,11,02,A,45887.0,R,8.0,0.0,0,0,0,0,0,0,0,0,2025-08-18,170,4.705882,0.000000,4.705882,0.000000,0.000000,0.000000,0.000000,2,0,3,0,5,2,4,0,,,5,2,3,2,3,1,1,1,4,0,2,1,2,1
600409613,6.00409613E8,Pre,63.636364,7,11,0,1,4,Y,5814844866,04,Male,NonBlack,11,04,A,45887.0,R,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2025-08-18,170,1.176471,1.176471,2.352941,0.000000,2.000000,0.000000,1.000000,1,1,1,1,1,0,2,0,,,1,1,1,1,3,1,2,0,1,0,2,1,2,1
600409613,6.00409613E8,Post,45.454545,5,11,0,1,4,Y,5814844866,04,Male,NonBlack,11,04,A,45887.0,R,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2025-08-18,170,1.176471,1.176471,2.352941,0.000000,2.000000,0.000000,1.000000,1,1,4,0,3,1,2,0,,,2,0,1,1,3,1,4,0,1,0,2,1,4,0
600408098,6.00408098E8,Pre,45.454545,5,11,0,1,4,Y,1036381026,04,Female,Black,10,04,A,45887.0,R,0.0,7.0,0,0,0,0,0,0,0,0,2025-08-18,170,0.000000,4.117647,4.117647,0.000000,0.000000,0.000000,0.000000,1,1,4,0,2,0,2,0,,,1,1,1,1,3,1,2,0,5,2,3,0,2,1
600408098,6.00408098E8,Post,45.454545,5,11,0,1,4,Y,1036381026,04,Female,Black,10,04,A,45887.0,R,0.0,7.0,0,0,0,0,0,0,0,0,2025-08-18,170,0.000000,4.117647,4.117647,0.000000,0.000000,0.000000,0.000000,1,1,4,0,1,0,3,0,,,4,0,1,1,3,1,3,0,3,1,4,0,1,1
600410653,6.00410653E8,Pre,45.454545,5,11,1,1,4,Y,4433180550,04,Female,NonBlack,10,04,A,45887.0,R,20.0,4.0,0,0,0,0,0,0,0,0,2025-08-18,170,11.764706,2.352941,14.117647,0.000000,0.000000,0.000000,0.000000,1,1,4,0,5,2,2,0,,,5,2,1,1,3,1,1,1,2,0,3,0,2,1
600410653,6.00410653E8,Post,54.545455,6,11,1,1,4,Y,4433180550,04,Female,NonBlack,10,04,A,45887.0,R,20.0,4.0,0,0,0,0,0,0,0,0,2025-08-18,170,11.764706,2.352941,14.117647,0.000000,0.000000,0.000000,0.000000,1,1,1,1,1,0,3,0,,,1,1,1,1,3,1,3,0,5,2,3,0,1,1
600404972,6.00404972E8,Pre,72.727273,8,11,0,1,4,Y,6118087155,04,Male,NonBlack,10,05,A,45887.0,R,3.0,9.0,0,0,0,0,0,0,0,0,2025-08-18,170,1.764706,5.294118,7.058824,0.000000,0.000000,0.000000,0.000000,1,1,4,0,5,2,1,1,,,1,1,1,1,3,1,5,2,3,1,2,1,1,1
600404972,6.00404972E8,Post,72.727273,8,11,0,1,4,Y,6118087155,04,Male,NonBlack,10,05,A,45887.0,R,3.0,9.0,0,0,0,0,0,0,0,0,2025-08-18,170,1.764706,5.294118,7.058824,0.000000,0.000000,0.000000,0.000000,1,1,2,0,3,1,1,1,,,4,0,1,1,3,1,1,1,1,0,2,1,5,1
